# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1772764415599000000,1772764475683000000,6
AWTEventQueue.eventsDispatched,1772764415599000000,1772764475683000000,2
ReadAction.executionsCount,1772764415599000000,1772764475683000000,3605
AWTEventQueue.dispatchTimeTotalNS,1772764415599000000,1772764475683000000,9591874754
AWTEventQueue.dispatchTime90PNs,1772764415599000000,1772764475683000000,179199
FlushQueue.waitingTime90PNs,1772764415599000000,1772764475683000000,90623
FlushQueue.tasksExecuted,1772764415599000000,1772764475683000000,2
WriteAction.executionsCount,1772764415599000000,1772764475683000000,19
FlushQueue.executionTimeMaxNs,1772764415599000000,1772764475683000000,76799
FlushQueue.executionTime90PNs,1772764415599000000,1772764475683000000,76799
NonBlockingReadAction.failedExecutionsCount,1772764415599000000,1772764475683000000,0
FlushQueue.queueSizeAvg,1772764415599000000,1772764475683000000,0.0
FlushQueue.waitingTimeMaxNs,1772764415599000000,1772764475683000000,90623
NonBlockingReadAction.failedExecutionTimeUs,1772764415599000000,1772764475683000000,0
FlushQueue.waitingTimeAvgNs,1772764415599000000,1772764475683000000,62784.0
AWTEventQueue.dispatchTimeAvgNs,1772764415599000000,1772764475683000000,96496.0
FlushQueue.queueSize90P,1772764415599000000,1772764475683000000,0
FlushQueue.queueSizeMax,1772764415599000000,1772764475683000000,0
FlushQueue.executionTimeAvgNs,1772764415599000000,1772764475683000000,45168.0
NonBlockingReadAction.finalizedExecutionTimeUs,1772764415599000000,1772764475683000000,68612
AWTEventQueue.dispatchTimeMaxNs,1772764415599000000,1772764475683000000,179199
workspaceModel.do.save.caches.ms,1772764415599000000,1772764475683000000,71
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772764415599000000,1772764475683000000,1
jps.global.get.library.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772764415599000000,1772764475683000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772764415599000000,1772764475683000000,2
jps.save.changed.project.entities.ms,1772764415599000000,1772764475683000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772764415599000000,1772764475683000000,0
jps.save.global.entities.ms,1772764415599000000,1772764475683000000,3
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772764415599000000,1772764475683000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772764415599000000,1772764475683000000,0
jps.library.entities.serializer.load.entities.ms,1772764415599000000,1772764475683000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772764415599000000,1772764475683000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1772764415599000000,1772764475683000000,0
workspaceModel.orphan.listener.update.ms,1772764415599000000,1772764475683000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1772764415599000000,1772764475683000000,0
jps.project.serializers.save.ms,1772764415599000000,1772764475683000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772764415599000000,1772764475683000000,24
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772764415599000000,1772764475683000000,0
jps.app.storage.content.writer.save.component.ms,1772764415599000000,1772764475683000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772764415599000000,1772764475683000000,0
jps.load.initial.state.ms,1772764415599000000,1772764475683000000,11
jps.module.iml.entities.serializer.save.entities.ms,1772764415599000000,1772764475683000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772764415599000000,1772764475683000000,0
jps.artifact.entities.serializer.save.entities.ms,1772764415599000000,1772764475683000000,0
jps.facet.change.listener.process.change.events.ms,1772764415599000000,1772764475683000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1772764415599000000,1772764475683000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772764415599000000,1772764475683000000,32
workspaceModel.global.apply.state.to.project.builder.ms,1772764415599000000,1772764475683000000,2
jps.library.entities.serializer.save.entities.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772764415599000000,1772764475683000000,0
jps.facet.change.listener.init.bridge.ms,1772764415599000000,1772764475683000000,0
jps.facet.change.listener.before.change.events.ms,1772764415599000000,1772764475683000000,0
jps.module.iml.entities.serializer.load.entities.ms,1772764415599000000,1772764475683000000,37
jps.global.handle.changed.events.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772764415599000000,1772764475683000000,20
jps.reload.project.entities.ms,1772764415599000000,1772764475683000000,0
jps.global.initialize.library.bridges.ms,1772764415599000000,1772764475683000000,1
jps.project.serializers.load.ms,1772764415599000000,1772764475683000000,60
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772764415599000000,1772764475683000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772764415599000000,1772764475683000000,0
workspaceModel.moduleBridge.update.option.ms,1772764415599000000,1772764475683000000,0
jps.app.storage.content.reader.load.component.ms,1772764415599000000,1772764475683000000,0
jps.storage.jps.conf.reader.load.component.ms,1772764415599000000,1772764475683000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772764415599000000,1772764475683000000,15
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772764415599000000,1772764475683000000,0
jps.global.get.library.by.name.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772764415599000000,1772764475683000000,3
workspaceModel.mutableEntityStorage.referrers.ms,1772764415599000000,1772764475683000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772764415599000000,1772764475683000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772764415599000000,1772764475683000000,78
jps.load.project.to.empty.storage.ms,1772764415599000000,1772764475683000000,84
workspaceModel.sync.entities.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772764415599000000,1772764475683000000,1
jps.artifact.entities.serializer.load.entities.ms,1772764415599000000,1772764475683000000,0
jps.global.get.libraries.ms,1772764415599000000,1772764475683000000,0
workspaceModel.load.cache.from.file.ms,1772764415599000000,1772764475683000000,0
jps.global.handle.before.change.events.ms,1772764415599000000,1772764475683000000,0
workspaceModel.global.updates.ms,1772764415599000000,1772764475683000000,0
workspaceModel.global.apply.state.to.project.ms,1772764415599000000,1772764475683000000,0
workspaceModel.global.updates.count,1772764415599000000,1772764475683000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772764415599000000,1772764475683000000,1
workspaceModel.moduleBridge.before.changed.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772764415599000000,1772764475683000000,9
workspaceModel.moduleManagerBridge.newModule.ms,1772764415599000000,1772764475683000000,0
workspaceModel.mutableEntityStorage.instances.count,1772764415599000000,1772764475683000000,22
workspaceModel.save.cache.to.file.ms,1772764415599000000,1772764475683000000,65
jps.apply.loaded.storage.ms,1772764415599000000,1772764475683000000,3049
JVM.totalCpuTimeMs,1772764415599000000,1772764475683000000,41168
JVM.totalTimeAtSafepointsMs,1772764415599000000,1772764475683000000,552
JVM.GC.collectionTimesMs,1772764415599000000,1772764475683000000,537
MEM.ramPlusSwapMinusFileMappingsBytes,1772764415599000000,1772764475683000000,1739232440
JVM.usedHeapBytes,1772764415599000000,1772764475683000000,395818936
JVM.totalBytesAllocated,1772764415599000000,1772764475683000000,4179337504
JVM.maxThreadCount,1772764415599000000,1772764475683000000,134
JVM.newThreadsCount,1772764415599000000,1772764475683000000,154
MEM.ramMinusFileMappingsBytes,1772764415599000000,1772764475683000000,1475674112
JVM.totalTimeToSafepointsMs,1772764415599000000,1772764475683000000,118
MEM.fileMappingsRamBytes,1772764415599000000,1772764475683000000,609943552
JVM.committedHeapBytes,1772764415599000000,1772764475683000000,641728512
JVM.GC.collections,1772764415599000000,1772764475683000000,46
JVM.totalSafepointCount,1772764415599000000,1772764475683000000,266
JVM.threadCount,1772764415599000000,1772764475683000000,130
JVM.usedNativeBytes,1772764415599000000,1772764475683000000,334261040
OS.loadAverage,1772764415599000000,1772764475683000000,123.19873046875
MEM.ramBytes,1772764415599000000,1772764475683000000,2085683200
JVM.totalDirectByteBuffersBytes,1772764415599000000,1772764475683000000,20667646
JVM.maxHeapBytes,1772764415599000000,1772764475683000000,2147483648
FilePageCache.capacityInBytes,1772764415599000000,1772764475683000000,629145600
FilePageCache.maxCacheSizeInBytes,1772764415599000000,1772764475683000000,247480320
FilePageCache.pageLoads,1772764415599000000,1772764475683000000,245
FilePageCache.pageLoadsAboveSizeThreshold,1772764415599000000,1772764475683000000,0
MappedFileStorage.totalPagesMapped,1772764415599000000,1772764475683000000,13
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772764415599000000,1772764475683000000,4706
StorageLockContext.competingThreads.avg,1772764415599000000,1772764475683000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1772764415599000000,1772764475683000000,0
FilePageCache.disposedBuffers,1772764415599000000,1772764475683000000,243
FilePageCache.pageFastCacheHits,1772764415599000000,1772764475683000000,177863
FilePageCache.pageHits,1772764415599000000,1772764475683000000,0
DirectByteBufferAllocator.hits,1772764415599000000,1772764475683000000,5
StreamlinedBlobStorage.recordsRelocated,1772764415599000000,1772764475683000000,0
MappedFileStorage.totalBytesMapped,1772764415599000000,1772764475683000000,190054400
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772764415599000000,1772764475683000000,41959424
MappedFileStorage.totalTimeSpentOnMappingUs,1772764415599000000,1772764475683000000,362827
FilePageCache.totalPageLoadsUs,1772764415599000000,1772764475683000000,94006
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772764415599000000,1772764475683000000,740
FilePageCache.maxRegisteredFiles,1772764415599000000,1772764475683000000,533
FilePageCache.uncachedFileAccess,1772764415599000000,1772764475683000000,332
StreamlinedBlobStorage.recordsDeleted,1772764415599000000,1772764475683000000,0
StreamlinedBlobStorage.recordsAllocated,1772764415599000000,1772764475683000000,67
MappedFileStorage.storages,1772764415599000000,1772764475683000000,13
DirectByteBufferAllocator.misses,1772764415599000000,1772764475683000000,240
StorageLockContext.competingThreads.90P,1772764415599000000,1772764475683000000,0
DirectByteBufferAllocator.disposed,1772764415599000000,1772764475683000000,238
StorageLockContext.competingThreads.max,1772764415599000000,1772764475683000000,0
DirectByteBufferAllocator.reclaimed,1772764415599000000,1772764475683000000,47
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772764415599000000,1772764475683000000,16384
FilePageCache.totalPageDisposalsUs,1772764415599000000,1772764475683000000,1108
VFS.contentStorage.recordsReadSize,1772764415599000000,1772764475683000000,6081960
VFS.contentStorage.recordsUncompressedSize,1772764415599000000,1772764475683000000,608196
VFS.rootsCount,1772764415599000000,1772764475683000000,5.0
FileNameCache.totalMisses,1772764415599000000,1772764475683000000,0
VFS.fileByIdCache.misses,1772764415599000000,1772764475683000000,6
FileNameCache.queries,1772764415599000000,1772764475683000000,32000
VFS.contentStorage.recordsReadDecompressed,1772764415599000000,1772764475683000000,10
VFS.folderCaseSensitivityReads,1772764415599000000,1772764475683000000,35
VFS.contentStorage.recordsStoredSize,1772764415599000000,1772764475683000000,545049
VFS.cache.filesCreated,1772764415599000000,1772764475683000000,299
VFS.contentStorage.recordsDecompressionTimeUs,1772764415599000000,1772764475683000000,10113
VFS.invertedFileNameIndex.requests,1772764415599000000,1772764475683000000,12
VFS.fileByIdCache.hits,1772764415599000000,1772764475683000000,0
VFS.contentStorage.recordsStoredCompressed,1772764415599000000,1772764475683000000,1
VFS.fileChildByName,1772764415599000000,1772764475683000000,3537
VFS.contentStorage.recordsRead,1772764415599000000,1772764475683000000,10
VFS.contentStorage.recordsDeduplicated,1772764415599000000,1772764475683000000,0
VFS.cache.directoriesCreated,1772764415599000000,1772764475683000000,69
VFS.cache.segmentsCreated,1772764415599000000,1772764475683000000,1
VFS.contentStorage.recordsStored,1772764415599000000,1772764475683000000,2
VFS.cache.segments,1772764415599000000,1772764475683000000,1.0
parser.Puppet.time.ns,1772764415599000000,1772764475683000000,279675250
writeAction.wait.ms,1772764415599000000,1772764475683000000,132
DiskQueryRelay.taskExecutionTotalTimeUs,1772764415599000000,1772764475683000000,146465
writeAction.max.wait.ms,1772764415599000000,1772764475683000000,69
parser.Puppet.size.bytes,1772764415599000000,1772764475683000000,526324
LowMemory.gcOverloaded,1772764415599000000,1772764475683000000,0
parser.JSON.time.ns,1772764415599000000,1772764475683000000,6474042
DiskQueryRelay.tasksRequested,1772764415599000000,1772764475683000000,434
writeAction.count,1772764415599000000,1772764475683000000,19
DiskQueryRelay.tasksExecuted,1772764415599000000,1772764475683000000,434
lexer.JSON.size.bytes,1772764415599000000,1772764475683000000,503
lexer.Puppet.size.bytes,1772764415599000000,1772764475683000000,526324
parser.JSON.size.bytes,1772764415599000000,1772764475683000000,503
LowMemory.gcLoad,1772764415599000000,1772764475683000000,0.0013595985303434376
writeAction.median.wait.ms,1772764415599000000,1772764475683000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1772764415599000000,1772764475683000000,405553
lexer.JSON.time.ns,1772764415599000000,1772764475683000000,745958
lexer.Puppet.time.ns,1772764415599000000,1772764475683000000,30146334
cacheStateStorage.set.duration,1772764415599000000,1772764475683000000,79
cacheStateStorage.get.counter,1772764415599000000,1772764475683000000,17
cacheStateStorage.set.counter,1772764415599000000,1772764475683000000,6
cacheStateStorage.get.duration,1772764415599000000,1772764475683000000,9
workspaceModel.workspaceFileIndexData.instances.count,1772764415599000000,1772764475683000000,1
workspaceModel.to.snapshot.ms,1772764415599000000,1772764475683000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772764415599000000,1772764475683000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772764415599000000,1772764475683000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1772764415599000000,1772764475683000000,0
workspaceModel.loading.total.ms,1772764415599000000,1772764475683000000,23
workspaceModel.cachedValue.from.cache.count,1772764415599000000,1772764475683000000,106
workspaceModel.cachedValueWithParameters.clear.count,1772764415599000000,1772764475683000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772764415599000000,1772764475683000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772764415599000000,1772764475683000000,0
workspaceModel.cachedValue.total.get.count,1772764415599000000,1772764475683000000,112
workspaceModel.pre.handlers.ms,1772764415599000000,1772764475683000000,6
workspaceModel.on.changed.ms,1772764415599000000,1772764475683000000,34
workspaceModel.update.unloaded.entities.ms,1772764415599000000,1772764475683000000,0
workspaceModel.cachedValue.clear.count,1772764415599000000,1772764475683000000,0
workspaceModel.cachedValue.calculated.count,1772764415599000000,1772764475683000000,6
workspaceModel.full.replace.project.model.ms,1772764415599000000,1772764475683000000,38
workspaceModel.collect.changes.ms,1772764415599000000,1772764475683000000,0
workspaceModel.workspaceFileIndexData.init.ms,1772764415599000000,1772764475683000000,5
workspaceModel.init.bridges.ms,1772764415599000000,1772764475683000000,3
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772764415599000000,1772764475683000000,12
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772764415599000000,1772764475683000000,14
workspaceModel.loading.from.cache.ms,1772764415599000000,1772764475683000000,20
workspaceModel.cachedValueWithParameters.total.get.count,1772764415599000000,1772764475683000000,0
workspaceModel.replace.project.model.ms,1772764415599000000,1772764475683000000,0
workspaceModel.updates.precise.ms,1772764415599000000,1772764475683000000,8
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772764415599000000,1772764475683000000,2
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772764415599000000,1772764475683000000,21
workspaceModel.updates.ms,1772764415599000000,1772764475683000000,70
workspaceModel.on.before.changed.ms,1772764415599000000,1772764475683000000,33
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772764415599000000,1772764475683000000,0
workspaceModel.initializing.ms,1772764415599000000,1772764475683000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1772764415599000000,1772764475683000000,12
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772764415599000000,1772764475683000000,0
workspaceModel.check.recursive.update.ms,1772764415599000000,1772764475683000000,0
workspaceModel.updates.count,1772764415599000000,1772764475683000000,1
Indexing.writer_0.totalTimeSpentWritingMs,1772764415599000000,1772764475683000000,382
Indexing.cache.totalCacheAccesses,1772764415599000000,1772764475683000000,209794
Indexing.cache.totalCacheMisses,1772764415599000000,1772764475683000000,85512
